region,municipality,district,party,votes
Blekinge län,Karlshamn,16 - Vägga,M,279
Blekinge län,Karlshamn,16 - Vägga,SD,252
Blekinge län,Karlshamn,16 - Vägga,C,100
Blekinge län,Karlshamn,16 - Vägga,KD,93
Blekinge län,Karlshamn,16 - Vägga,V,74
Blekinge län,Karlshamn,16 - Vägga,MP,72
Blekinge län,Karlshamn,16 - Vägga,L,69
Blekinge län,Karlshamn,16 - Vägga,ÖVR,13
Blekinge län,Karlshamn,16 - Vägga,BLANK,11
Blekinge län,Karlshamn,16 - Vägga,FI,7
Blekinge län,Karlshamn,16 - Vägga,OGEJ,0
Blekinge län,Karlshamn,16 - Vägga,OG,0
Blekinge län,Karlshamn,17 - Österslätt,S,299
Blekinge län,Karlshamn,17 - Österslätt,M,228
Blekinge län,Karlshamn,17 - Österslätt,SD,189
Blekinge län,Karlshamn,17 - Österslätt,V,93
Blekinge län,Karlshamn,17 - Österslätt,KD,57
Blekinge län,Karlshamn,17 - Österslätt,C,56
Blekinge län,Karlshamn,17 - Österslätt,L,53
Blekinge län,Karlshamn,17 - Österslätt,MP,32
Blekinge län,Karlshamn,17 - Österslätt,BLANK,11
Blekinge län,Karlshamn,17 - Österslätt,ÖVR,8
Blekinge län,Karlshamn,17 - Österslätt,FI,2
Blekinge län,Karlshamn,17 - Österslätt,OGEJ,0
Blekinge län,Karlshamn,17 - Österslätt,OG,0
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,S,129
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,M,109
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,SD,97
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,V,47
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,MP,40
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,C,30
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,L,17
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,KD,17
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,ÖVR,13
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,FI,4
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,BLANK,3
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,OG,2
Blekinge län,Karlshamn,18 - Uppsamlingsdistrikt,OGEJ,0
Blekinge län,Karlshamn,1 - Froarp,S,465
Blekinge län,Karlshamn,1 - Froarp,SD,420
Blekinge län,Karlshamn,1 - Froarp,M,258
Blekinge län,Karlshamn,1 - Froarp,C,97
Blekinge län,Karlshamn,1 - Froarp,V,85
Blekinge län,Karlshamn,1 - Froarp,KD,62
Blekinge län,Karlshamn,1 - Froarp,MP,52
Blekinge län,Karlshamn,1 - Froarp,L,40
Blekinge län,Karlshamn,1 - Froarp,ÖVR,11
Blekinge län,Karlshamn,1 - Froarp,FI,8
Blekinge län,Karlshamn,1 - Froarp,BLANK,7
Blekinge län,Karlshamn,1 - Froarp,OG,1
Blekinge län,Karlshamn,1 - Froarp,OGEJ,0
Blekinge län,Karlshamn,2 - Gustavstorp,S,334
Blekinge län,Karlshamn,2 - Gustavstorp,SD,285
Blekinge län,Karlshamn,2 - Gustavstorp,M,111
Blekinge län,Karlshamn,2 - Gustavstorp,C,57
Blekinge län,Karlshamn,2 - Gustavstorp,KD,52
Blekinge län,Karlshamn,2 - Gustavstorp,V,37
Blekinge län,Karlshamn,2 - Gustavstorp,L,30
Blekinge län,Karlshamn,2 - Gustavstorp,MP,18
Blekinge län,Karlshamn,2 - Gustavstorp,ÖVR,10
Blekinge län,Karlshamn,2 - Gustavstorp,BLANK,7
Blekinge län,Karlshamn,2 - Gustavstorp,OG,2
Blekinge län,Karlshamn,2 - Gustavstorp,FI,1
