region,municipality,district,party,votes
Jönköpings län,Eksjö,3 - Hult,M,109
Jönköpings län,Eksjö,3 - Hult,KD,59
Jönköpings län,Eksjö,3 - Hult,L,28
Jönköpings län,Eksjö,3 - Hult,V,22
Jönköpings län,Eksjö,3 - Hult,MP,16
Jönköpings län,Eksjö,3 - Hult,BLANK,14
Jönköpings län,Eksjö,3 - Hult,ÖVR,4
Jönköpings län,Eksjö,3 - Hult,OGEJ,1
Jönköpings län,Eksjö,3 - Hult,FI,0
Jönköpings län,Eksjö,3 - Hult,OG,0
Jönköpings län,Eksjö,4 - Höreda,KD,220
Jönköpings län,Eksjö,4 - Höreda,C,205
Jönköpings län,Eksjö,4 - Höreda,S,199
Jönköpings län,Eksjö,4 - Höreda,M,186
Jönköpings län,Eksjö,4 - Höreda,SD,177
Jönköpings län,Eksjö,4 - Höreda,L,31
Jönköpings län,Eksjö,4 - Höreda,MP,27
Jönköpings län,Eksjö,4 - Höreda,V,26
Jönköpings län,Eksjö,4 - Höreda,ÖVR,12
Jönköpings län,Eksjö,4 - Höreda,BLANK,12
Jönköpings län,Eksjö,4 - Höreda,FI,4
Jönköpings län,Eksjö,4 - Höreda,OGEJ,0
Jönköpings län,Eksjö,4 - Höreda,OG,0
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,SD,291
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,S,232
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,C,149
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,M,125
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,KD,83
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,V,40
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,L,34
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,MP,29
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,ÖVR,18
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,BLANK,10
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,FI,0
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,OGEJ,0
Jönköpings län,Eksjö,5 - Ingatorp-Hjältevad,OG,0
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,SD,163
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,S,155
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,M,137
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,C,133
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,KD,80
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,L,40
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,V,29
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,MP,18
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,BLANK,11
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,ÖVR,2
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,FI,1
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,OGEJ,0
Jönköpings län,Eksjö,6 - Kaffekullen m. landsbygd,OG,0
Jönköpings län,Eksjö,7 - Kvarnarp,S,344
Jönköpings län,Eksjö,7 - Kvarnarp,SD,191
Jönköpings län,Eksjö,7 - Kvarnarp,M,183
Jönköpings län,Eksjö,7 - Kvarnarp,KD,86
Jönköpings län,Eksjö,7 - Kvarnarp,C,70
Jönköpings län,Eksjö,7 - Kvarnarp,V,40
Jönköpings län,Eksjö,7 - Kvarnarp,L,35
Jönköpings län,Eksjö,7 - Kvarnarp,MP,21
Jönköpings län,Eksjö,7 - Kvarnarp,ÖVR,9
Jönköpings län,Eksjö,7 - Kvarnarp,BLANK,9
Jönköpings län,Eksjö,7 - Kvarnarp,FI,0
Jönköpings län,Eksjö,7 - Kvarnarp,OGEJ,0
Jönköpings län,Eksjö,7 - Kvarnarp,OG,0
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,S,362
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,SD,270
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,C,175
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,KD,138
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,M,123
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,V,53
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,MP,28
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,L,19
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,ÖVR,18
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,BLANK,13
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,FI,2
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,OGEJ,0
Jönköpings län,Eksjö,8 - Mariannelund-Hässleby-Kråkshult,OG,0
Jönköpings län,Eksjö,9 - Norrtull,S,281
Jönköpings län,Eksjö,9 - Norrtull,M,206
Jönköpings län,Eksjö,9 - Norrtull,SD,163
Jönköpings län,Eksjö,9 - Norrtull,C,83
Jönköpings län,Eksjö,9 - Norrtull,KD,76
Jönköpings län,Eksjö,9 - Norrtull,L,41
Jönköpings län,Eksjö,9 - Norrtull,V,40
Jönköpings län,Eksjö,9 - Norrtull,MP,35
Jönköpings län,Eksjö,9 - Norrtull,ÖVR,14
Jönköpings län,Eksjö,9 - Norrtull,BLANK,10
Jönköpings län,Eksjö,9 - Norrtull,FI,4
Jönköpings län,Eksjö,9 - Norrtull,OG,1
Jönköpings län,Eksjö,9 - Norrtull,OGEJ,0
Jönköpings län,Gislaved,0 - Anderstorp C,S,283
Jönköpings län,Gislaved,0 - Anderstorp C,M,281
Jönköpings län,Gislaved,0 - Anderstorp C,SD,202
Jönköpings län,Gislaved,0 - Anderstorp C,C,119
Jönköpings län,Gislaved,0 - Anderstorp C,KD,92
Jönköpings län,Gislaved,0 - Anderstorp C,L,54
Jönköpings län,Gislaved,0 - Anderstorp C,V,33
Jönköpings län,Gislaved,0 - Anderstorp C,MP,21
Jönköpings län,Gislaved,0 - Anderstorp C,BLANK,6
Jönköpings län,Gislaved,0 - Anderstorp C,ÖVR,5
Jönköpings län,Gislaved,0 - Anderstorp C,FI,1
Jönköpings län,Gislaved,0 - Anderstorp C,OGEJ,0
Jönköpings län,Gislaved,0 - Anderstorp C,OG,0
Jönköpings län,Gislaved,10 - Norra Hestra,S,215
Jönköpings län,Gislaved,10 - Norra Hestra,M,190
Jönköpings län,Gislaved,10 - Norra Hestra,SD,180
Jönköpings län,Gislaved,10 - Norra Hestra,KD,130
Jönköpings län,Gislaved,10 - Norra Hestra,C,123
Jönköpings län,Gislaved,10 - Norra Hestra,L,50
Jönköpings län,Gislaved,10 - Norra Hestra,V,34
Jönköpings län,Gislaved,10 - Norra Hestra,MP,34
Jönköpings län,Gislaved,10 - Norra Hestra,BLANK,11
Jönköpings län,Gislaved,10 - Norra Hestra,ÖVR,3
Jönköpings län,Gislaved,10 - Norra Hestra,FI,0
Jönköpings län,Gislaved,10 - Norra Hestra,OGEJ,0
Jönköpings län,Gislaved,10 - Norra Hestra,OG,0
Jönköpings län,Gislaved,11 - Reftele,SD,278
Jönköpings län,Gislaved,11 - Reftele,S,275
Jönköpings län,Gislaved,11 - Reftele,C,266
Jönköpings län,Gislaved,11 - Reftele,M,251
Jönköpings län,Gislaved,11 - Reftele,KD,108
Jönköpings län,Gislaved,11 - Reftele,L,33
Jönköpings län,Gislaved,11 - Reftele,V,30
Jönköpings län,Gislaved,11 - Reftele,MP,24
Jönköpings län,Gislaved,11 - Reftele,BLANK,12
Jönköpings län,Gislaved,11 - Reftele,ÖVR,9
Jönköpings län,Gislaved,11 - Reftele,FI,1
Jönköpings län,Gislaved,11 - Reftele,OGEJ,1
Jönköpings län,Gislaved,11 - Reftele,OG,0
Jönköpings län,Gislaved,12 - Smålandsstenar C,S,373
Jönköpings län,Gislaved,12 - Smålandsstenar C,SD,271
Jönköpings län,Gislaved,12 - Smålandsstenar C,M,267
Jönköpings län,Gislaved,12 - Smålandsstenar C,C,130
Jönköpings län,Gislaved,12 - Smålandsstenar C,KD,99
Jönköpings län,Gislaved,12 - Smålandsstenar C,L,44
Jönköpings län,Gislaved,12 - Smålandsstenar C,V,27
Jönköpings län,Gislaved,12 - Smålandsstenar C,MP,22
Jönköpings län,Gislaved,12 - Smålandsstenar C,ÖVR,16
Jönköpings län,Gislaved,12 - Smålandsstenar C,BLANK,16
Jönköpings län,Gislaved,12 - Smålandsstenar C,OG,1
Jönköpings län,Gislaved,12 - Smålandsstenar C,FI,0
Jönköpings län,Gislaved,12 - Smålandsstenar C,OGEJ,0
Jönköpings län,Gislaved,13 - Smålandsstenar V,S,305
Jönköpings län,Gislaved,13 - Smålandsstenar V,SD,288
Jönköpings län,Gislaved,13 - Smålandsstenar V,M,227
Jönköpings län,Gislaved,13 - Smålandsstenar V,C,166
Jönköpings län,Gislaved,13 - Smålandsstenar V,KD,101
Jönköpings län,Gislaved,13 - Smålandsstenar V,V,46
Jönköpings län,Gislaved,13 - Smålandsstenar V,L,34
Jönköpings län,Gislaved,13 - Smålandsstenar V,MP,31
Jönköpings län,Gislaved,13 - Smålandsstenar V,ÖVR,10
Jönköpings län,Gislaved,13 - Smålandsstenar V,BLANK,10
Jönköpings län,Gislaved,13 - Smålandsstenar V,FI,2
Jönköpings län,Gislaved,13 - Smålandsstenar V,OGEJ,0
Jönköpings län,Gislaved,13 - Smålandsstenar V,OG,0
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,SD,281
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,S,224
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,M,154
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,C,110
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,KD,71
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,V,38
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,L,24
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,MP,19
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,BLANK,14
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,ÖVR,8
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,FI,5
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,OG,2
Jönköpings län,Gislaved,14 - Smålandsstenar Ö,OGEJ,0
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,SD,79
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,C,74
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,KD,66
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,M,42
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,S,30
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,V,8
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,MP,8
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,L,6
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,ÖVR,3
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,BLANK,3
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,FI,1
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,OGEJ,0
Jönköpings län,Gislaved,15 - Stengårdshult-Valdshult-Öreryd,OG,0
Jönköpings län,Gislaved,16 - Sörgården,S,397
Jönköpings län,Gislaved,16 - Sörgården,M,275
Jönköpings län,Gislaved,16 - Sörgården,SD,213
Jönköpings län,Gislaved,16 - Sörgården,KD,78
Jönköpings län,Gislaved,16 - Sörgården,C,74
Jönköpings län,Gislaved,16 - Sörgården,V,43
Jönköpings län,Gislaved,16 - Sörgården,L,39
Jönköpings län,Gislaved,16 - Sörgården,MP,25
Jönköpings län,Gislaved,16 - Sörgården,BLANK,5
Jönköpings län,Gislaved,16 - Sörgården,ÖVR,2
Jönköpings län,Gislaved,16 - Sörgården,FI,0
Jönköpings län,Gislaved,16 - Sörgården,OGEJ,0
Jönköpings län,Gislaved,16 - Sörgården,OG,0
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,SD,138
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,C,121
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,S,121
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,M,81
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,KD,50
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,L,23
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,MP,19
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,V,12
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,ÖVR,3
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,BLANK,3
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,FI,2
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,OGEJ,1
Jönköpings län,Gislaved,17 - Våthult-Bosebo-Båraryd,OG,0
Jönköpings län,Gislaved,18 - Ås-Kållerstad,SD,205
Jönköpings län,Gislaved,18 - Ås-Kållerstad,C,189
Jönköpings län,Gislaved,18 - Ås-Kållerstad,M,123
Jönköpings län,Gislaved,18 - Ås-Kållerstad,S,84
Jönköpings län,Gislaved,18 - Ås-Kållerstad,KD,74
Jönköpings län,Gislaved,18 - Ås-Kållerstad,V,21
Jönköpings län,Gislaved,18 - Ås-Kållerstad,L,9
Jönköpings län,Gislaved,18 - Ås-Kållerstad,MP,8
Jönköpings län,Gislaved,18 - Ås-Kållerstad,ÖVR,4
Jönköpings län,Gislaved,18 - Ås-Kållerstad,BLANK,4
Jönköpings län,Gislaved,18 - Ås-Kållerstad,OG,1
Jönköpings län,Gislaved,18 - Ås-Kållerstad,FI,0
Jönköpings län,Gislaved,18 - Ås-Kållerstad,OGEJ,0
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,S,74
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,M,41
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,SD,39
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,C,25
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,V,24
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,MP,21
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,KD,15
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,BLANK,5
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,L,4
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,FI,3
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,ÖVR,1
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,OGEJ,1
Jönköpings län,Gislaved,19 - Uppsamlingsdistrikt,OG,0
Jönköpings län,Gislaved,1 - Anderstorp N,S,297
Jönköpings län,Gislaved,1 - Anderstorp N,SD,249
Jönköpings län,Gislaved,1 - Anderstorp N,M,246
Jönköpings län,Gislaved,1 - Anderstorp N,C,110
Jönköpings län,Gislaved,1 - Anderstorp N,KD,77
Jönköpings län,Gislaved,1 - Anderstorp N,L,61
Jönköpings län,Gislaved,1 - Anderstorp N,V,45
Jönköpings län,Gislaved,1 - Anderstorp N,MP,15
Jönköpings län,Gislaved,1 - Anderstorp N,BLANK,8
Jönköpings län,Gislaved,1 - Anderstorp N,ÖVR,7
Jönköpings län,Gislaved,1 - Anderstorp N,FI,3
Jönköpings län,Gislaved,1 - Anderstorp N,OGEJ,0
Jönköpings län,Gislaved,1 - Anderstorp N,OG,0
Jönköpings län,Gislaved,2 - Anderstorp S,S,276
Jönköpings län,Gislaved,2 - Anderstorp S,SD,209
Jönköpings län,Gislaved,2 - Anderstorp S,M,185
Jönköpings län,Gislaved,2 - Anderstorp S,C,113
Jönköpings län,Gislaved,2 - Anderstorp S,KD,70
Jönköpings län,Gislaved,2 - Anderstorp S,V,33
Jönköpings län,Gislaved,2 - Anderstorp S,L,26
Jönköpings län,Gislaved,2 - Anderstorp S,MP,23
Jönköpings län,Gislaved,2 - Anderstorp S,BLANK,9
Jönköpings län,Gislaved,2 - Anderstorp S,ÖVR,3
Jönköpings län,Gislaved,2 - Anderstorp S,OGEJ,3
Jönköpings län,Gislaved,2 - Anderstorp S,FI,0
Jönköpings län,Gislaved,2 - Anderstorp S,OG,0
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,SD,226
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,S,202
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,C,146
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,M,130
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,KD,59
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,V,40
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,MP,19
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,L,11
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,BLANK,11
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,ÖVR,6
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,FI,4
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,OGEJ,0
Jönköpings län,Gislaved,3 - Burseryd-Sandvik,OG,0
Jönköpings län,Gislaved,4 - Gislaved C,S,389
Jönköpings län,Gislaved,4 - Gislaved C,SD,154
Jönköpings län,Gislaved,4 - Gislaved C,M,136
Jönköpings län,Gislaved,4 - Gislaved C,C,60
Jönköpings län,Gislaved,4 - Gislaved C,V,59
Jönköpings län,Gislaved,4 - Gislaved C,KD,58
Jönköpings län,Gislaved,4 - Gislaved C,L,36
Jönköpings län,Gislaved,4 - Gislaved C,MP,24
Jönköpings län,Gislaved,4 - Gislaved C,BLANK,13
Jönköpings län,Gislaved,4 - Gislaved C,ÖVR,10
Jönköpings län,Gislaved,4 - Gislaved C,FI,1
Jönköpings län,Gislaved,4 - Gislaved C,OGEJ,1
Jönköpings län,Gislaved,4 - Gislaved C,OG,0
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,SD,194
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,M,101
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,S,101
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,C,80
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,KD,59
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,L,16
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,V,12
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,MP,5
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,ÖVR,5
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,BLANK,5
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,FI,1
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,OGEJ,1
Jönköpings län,Gislaved,5 - Gryteryd-Södra Hestra,OG,1
Jönköpings län,Gislaved,6 - Gullvivan,S,445
Jönköpings län,Gislaved,6 - Gullvivan,SD,101
Jönköpings län,Gislaved,6 - Gullvivan,M,87
Jönköpings län,Gislaved,6 - Gullvivan,V,31
Jönköpings län,Gislaved,6 - Gullvivan,C,30
Jönköpings län,Gislaved,6 - Gullvivan,KD,26
Jönköpings län,Gislaved,6 - Gullvivan,MP,17
Jönköpings län,Gislaved,6 - Gullvivan,L,15
Jönköpings län,Gislaved,6 - Gullvivan,BLANK,6
Jönköpings län,Gislaved,6 - Gullvivan,ÖVR,2
Jönköpings län,Gislaved,6 - Gullvivan,OG,1
Jönköpings län,Gislaved,6 - Gullvivan,FI,0
Jönköpings län,Gislaved,6 - Gullvivan,OGEJ,0
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,S,347
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,SD,233
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,M,127
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,V,53
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,KD,42
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,C,36
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,MP,19
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,L,18
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,ÖVR,10
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,BLANK,6
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,FI,1
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,OG,1
Jönköpings län,Gislaved,7 - Gyllenfors-Hult,OGEJ,0
Jönköpings län,Gislaved,8 - Henja,S,379
Jönköpings län,Gislaved,8 - Henja,SD,205
Jönköpings län,Gislaved,8 - Henja,M,117
Jönköpings län,Gislaved,8 - Henja,V,61
Jönköpings län,Gislaved,8 - Henja,C,55
Jönköpings län,Gislaved,8 - Henja,KD,41
Jönköpings län,Gislaved,8 - Henja,L,22
Jönköpings län,Gislaved,8 - Henja,MP,18
Jönköpings län,Gislaved,8 - Henja,BLANK,16
Jönköpings län,Gislaved,8 - Henja,ÖVR,5
Jönköpings län,Gislaved,8 - Henja,OGEJ,2
Jönköpings län,Gislaved,8 - Henja,FI,1
Jönköpings län,Gislaved,8 - Henja,OG,0
Jönköpings län,Gislaved,9 - Lundåker,S,406
Jönköpings län,Gislaved,9 - Lundåker,SD,211
Jönköpings län,Gislaved,9 - Lundåker,M,200
Jönköpings län,Gislaved,9 - Lundåker,C,83
Jönköpings län,Gislaved,9 - Lundåker,KD,77
Jönköpings län,Gislaved,9 - Lundåker,V,48
Jönköpings län,Gislaved,9 - Lundåker,L,41
Jönköpings län,Gislaved,9 - Lundåker,MP,27
Jönköpings län,Gislaved,9 - Lundåker,BLANK,11
Jönköpings län,Gislaved,9 - Lundåker,ÖVR,7
Jönköpings län,Gislaved,9 - Lundåker,FI,1
Jönköpings län,Gislaved,9 - Lundåker,OGEJ,1
Jönköpings län,Gislaved,9 - Lundåker,OG,0
Jönköpings län,Gnosjö,0 - Gnosjö Norra,S,205
Jönköpings län,Gnosjö,0 - Gnosjö Norra,M,188
Jönköpings län,Gnosjö,0 - Gnosjö Norra,SD,159
Jönköpings län,Gnosjö,0 - Gnosjö Norra,KD,85
Jönköpings län,Gnosjö,0 - Gnosjö Norra,C,56
Jönköpings län,Gnosjö,0 - Gnosjö Norra,L,29
Jönköpings län,Gnosjö,0 - Gnosjö Norra,V,27
Jönköpings län,Gnosjö,0 - Gnosjö Norra,MP,14
Jönköpings län,Gnosjö,0 - Gnosjö Norra,BLANK,5
Jönköpings län,Gnosjö,0 - Gnosjö Norra,ÖVR,3
Jönköpings län,Gnosjö,0 - Gnosjö Norra,FI,1
Jönköpings län,Gnosjö,0 - Gnosjö Norra,OGEJ,0
Jönköpings län,Gnosjö,0 - Gnosjö Norra,OG,0
Jönköpings län,Gnosjö,1 - Gnosjö Västra,S,375
Jönköpings län,Gnosjö,1 - Gnosjö Västra,SD,196
Jönköpings län,Gnosjö,1 - Gnosjö Västra,M,195
Jönköpings län,Gnosjö,1 - Gnosjö Västra,KD,105
Jönköpings län,Gnosjö,1 - Gnosjö Västra,C,91
Jönköpings län,Gnosjö,1 - Gnosjö Västra,V,41
Jönköpings län,Gnosjö,1 - Gnosjö Västra,L,31
Jönköpings län,Gnosjö,1 - Gnosjö Västra,MP,16
Jönköpings län,Gnosjö,1 - Gnosjö Västra,BLANK,6
Jönköpings län,Gnosjö,1 - Gnosjö Västra,ÖVR,5
Jönköpings län,Gnosjö,1 - Gnosjö Västra,FI,2
Jönköpings län,Gnosjö,1 - Gnosjö Västra,OG,1
Jönköpings län,Gnosjö,1 - Gnosjö Västra,OGEJ,0
Jönköpings län,Gnosjö,2 - Gnosjö Östra,S,277
Jönköpings län,Gnosjö,2 - Gnosjö Östra,M,205
Jönköpings län,Gnosjö,2 - Gnosjö Östra,SD,179
Jönköpings län,Gnosjö,2 - Gnosjö Östra,KD,160
Jönköpings län,Gnosjö,2 - Gnosjö Östra,C,73
Jönköpings län,Gnosjö,2 - Gnosjö Östra,L,24
Jönköpings län,Gnosjö,2 - Gnosjö Östra,MP,24
Jönköpings län,Gnosjö,2 - Gnosjö Östra,V,23
Jönköpings län,Gnosjö,2 - Gnosjö Östra,ÖVR,13
Jönköpings län,Gnosjö,2 - Gnosjö Östra,BLANK,9
Jönköpings län,Gnosjö,2 - Gnosjö Östra,OG,1
Jönköpings län,Gnosjö,2 - Gnosjö Östra,FI,0
Jönköpings län,Gnosjö,2 - Gnosjö Östra,OGEJ,0
Jönköpings län,Gnosjö,3 - Kulltorp,SD,235
Jönköpings län,Gnosjö,3 - Kulltorp,M,137
Jönköpings län,Gnosjö,3 - Kulltorp,S,134
Jönköpings län,Gnosjö,3 - Kulltorp,KD,121
Jönköpings län,Gnosjö,3 - Kulltorp,C,103
Jönköpings län,Gnosjö,3 - Kulltorp,L,22
Jönköpings län,Gnosjö,3 - Kulltorp,V,18
Jönköpings län,Gnosjö,3 - Kulltorp,BLANK,8
Jönköpings län,Gnosjö,3 - Kulltorp,ÖVR,7
Jönköpings län,Gnosjö,3 - Kulltorp,MP,6
Jönköpings län,Gnosjö,3 - Kulltorp,OG,1
Jönköpings län,Gnosjö,3 - Kulltorp,FI,0
Jönköpings län,Gnosjö,3 - Kulltorp,OGEJ,0
Jönköpings län,Gnosjö,4 - Kävsjö,S,306
Jönköpings län,Gnosjö,4 - Kävsjö,SD,252
Jönköpings län,Gnosjö,4 - Kävsjö,KD,244
Jönköpings län,Gnosjö,4 - Kävsjö,M,172
Jönköpings län,Gnosjö,4 - Kävsjö,C,120
Jönköpings län,Gnosjö,4 - Kävsjö,L,44
Jönköpings län,Gnosjö,4 - Kävsjö,V,24
Jönköpings län,Gnosjö,4 - Kävsjö,MP,13
Jönköpings län,Gnosjö,4 - Kävsjö,BLANK,10
Jönköpings län,Gnosjö,4 - Kävsjö,ÖVR,5
Jönköpings län,Gnosjö,4 - Kävsjö,FI,3
Jönköpings län,Gnosjö,4 - Kävsjö,OGEJ,0
Jönköpings län,Gnosjö,4 - Kävsjö,OG,0
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,SD,207
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,S,172
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,M,154
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,KD,148
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,C,111
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,V,30
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,L,29
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,MP,27
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,BLANK,10
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,ÖVR,5
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,FI,1
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,OGEJ,0
Jönköpings län,Gnosjö,5 - Åsenhöga-Källeryd,OG,0
Jönköpings län,Gnosjö,6 - Uppsamlingsdistrikt,S,72
Jönköpings län,Gnosjö,6 - Uppsamlingsdistrikt,SD,47
Jönköpings län,Gnosjö,6 - Uppsamlingsdistrikt,M,30
Jönköpings län,Gnosjö,6 - Uppsamlingsdistrikt,C,18
